"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
512201,"Matipo",189,162,120,2790,2820,3018,0.067741935483871,0.0574468085106383,0.0397614314115308
512202,"Durham Green",252,258,237,3753,4401,4545,0.0671462829736211,0.0586230402181322,0.0521452145214521
512300,"Te Atatu Central",174,162,216,3750,4461,4923,0.0464,0.0363147276395427,0.0438756855575868
512401,"Edmonton",102,75,75,2931,3201,3459,0.0348004094165814,0.0234301780693533,0.0216825672159584
512402,"Wakeling",99,69,63,3639,3765,3873,0.0272052761747733,0.0183266932270916,0.0162664601084431
512500,"Mcleod",168,123,183,4938,5388,6306,0.0340218712029162,0.0228285077951002,0.0290199809705043
512600,"Konini",84,57,63,3303,3396,3492,0.0254314259763851,0.0167844522968198,0.0180412371134021
512700,"Waima",27,36,27,2319,2364,2433,0.0116429495472186,0.0152284263959391,0.0110974106041924
512801,"Laingholm",39,33,27,2457,2490,2439,0.0158730158730159,0.0132530120481928,0.011070110701107
512802,"Armour Bay",9,6,12,465,447,474,0.0193548387096774,0.0134228187919463,0.0253164556962025
512902,"Otimai",27,24,39,2607,2769,2979,0.0103567318757192,0.00866738894907909,0.013091641490433
512903,"Parrs Park West",66,93,66,1677,1923,2142,0.0393559928443649,0.0483619344773791,0.030812324929972
512904,"Parrs Park",24,42,48,297,705,1362,0.0808080808080808,0.0595744680851064,0.0352422907488987
512905,"Oratia West",6,6,12,150,186,225,0.04,0.032258064516129,0.0533333333333333
512906,"Oratia",93,114,99,3015,3318,3432,0.0308457711442786,0.0343580470162749,0.0288461538461538
513011,"Henderson West",42,42,30,1947,2190,2199,0.0215716486902928,0.0191780821917808,0.0136425648021828
513012,"Palm Heights",54,57,75,1371,2076,2496,0.0393873085339169,0.0274566473988439,0.0300480769230769
513013,"McLaren Park",153,111,120,2772,2847,2955,0.0551948051948052,0.0389884088514226,0.0406091370558376
513020,"Opanuku",27,27,36,1998,2091,2088,0.0135135135135135,0.0129124820659971,0.0172413793103448
513101,"Swanson",24,30,21,1077,1098,1263,0.0222841225626741,0.0273224043715847,0.0166270783847981
513102,"Swanson South",6,6,12,1131,1050,1143,0.00530503978779841,0.00571428571428571,0.010498687664042
513211,"Urlich",99,123,117,2370,2313,2310,0.0417721518987342,0.053177691309987,0.0506493506493507
513212,"Starling Park",111,132,111,2220,2322,2817,0.05,0.0568475452196382,0.0394036208732694
513213,"Ranui Domain",141,153,132,2310,3033,3096,0.061038961038961,0.0504451038575668,0.0426356589147287
513214,"Ranui South",87,105,129,1857,2433,3030,0.0468497576736672,0.0431565967940814,0.0425742574257426
513220,"Sturges North",48,72,96,2352,5841,6975,0.0204081632653061,0.012326656394453,0.0137634408602151
513301,"Kingdale",150,129,165,3480,3537,3801,0.0431034482758621,0.0364715860899067,0.0434096290449882
513302,"Fairdene",219,177,204,4410,4554,4710,0.0496598639455782,0.038866930171278,0.043312101910828
513410,"Whenuapai West",30,30,30,1929,1968,2037,0.015552099533437,0.0152439024390244,0.0147275405007364
513420,"Herald",24,27,21,1656,1701,1716,0.0144927536231884,0.0158730158730159,0.0122377622377622
513431,"Hobsonville East",45,45,18,1266,1140,1059,0.0355450236966825,0.0394736842105263,0.0169971671388102
513432,"Hobsonville South",18,15,12,2022,2154,2202,0.00890207715133531,0.00696378830083565,0.00544959128065395
513511,"Westgate",24,36,30,705,1095,1350,0.0340425531914894,0.0328767123287671,0.0222222222222222
513512,"Royal Road West",84,105,105,2424,2664,2856,0.0346534653465347,0.0394144144144144,0.0367647058823529
513521,"West Harbour",225,195,174,4569,4935,4929,0.0492449113591596,0.0395136778115502,0.0353012781497261
513522,"Lucken Point",33,39,39,4659,5238,5238,0.00708306503541533,0.00744558991981672,0.00744558991981672
513530,"Royal Heights",213,195,231,5487,5874,6144,0.038819026790596,0.033197139938713,0.03759765625
