"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
524303,"Kohuora",297,246,231,5007,5457,6075,0.0593169562612343,0.0450797141286421,0.0380246913580247
524402,"Mangere Station",6,18,6,279,162,156,0.021505376344086,0.111111111111111,0.0384615384615385
524403,"Favona West",93,81,87,1872,2163,2670,0.0496794871794872,0.0374479889042996,0.0325842696629213
524404,"Favona North",135,102,102,2118,2292,2553,0.0637393767705382,0.0445026178010471,0.0399529964747356
524405,"Favona South",96,138,117,1941,3033,3294,0.0494590417310665,0.0454995054401583,0.0355191256830601
524510,"Harania North",246,135,111,3792,3768,3606,0.064873417721519,0.035828025477707,0.0307820299500832
524520,"Harania West",303,222,204,4416,4596,4896,0.0686141304347826,0.0483028720626632,0.0416666666666667
524530,"Harania East",312,243,177,4689,5151,5040,0.0665387076135637,0.0471753057658707,0.0351190476190476
524602,"Wiri",324,270,231,3765,4047,3954,0.0860557768924303,0.0667160859896219,0.0584218512898331
524603,"Puhinui South",108,102,96,2337,2529,2895,0.0462130937098845,0.0403321470937129,0.033160621761658
524604,"Manukau Central",12,27,57,153,405,642,0.0784313725490196,0.0666666666666667,0.088785046728972
524711,"Burbank",348,306,306,3066,3189,3360,0.113502935420744,0.0959548447789276,0.0910714285714286
524712,"Homai West",201,150,177,2028,2088,2055,0.099112426035503,0.0718390804597701,0.0861313868613139
524713,"Rowandale",312,312,270,2943,3015,3129,0.106014271151886,0.103482587064677,0.0862895493767977
524720,"Homai East",441,501,486,5406,5826,6138,0.0815760266370699,0.0859938208032956,0.0791788856304985
524811,"Weymouth West",192,270,213,3471,4002,4197,0.0553154710458081,0.0674662668665667,0.0507505360972123
524812,"Weymouth East",186,342,393,3060,4791,4992,0.0607843137254902,0.0713838447088291,0.0787259615384615
524821,"Clendon North",276,312,234,2709,3003,2838,0.10188261351052,0.103896103896104,0.0824524312896406
524822,"Clendon South",339,339,264,3696,4959,4953,0.0917207792207792,0.0683605565638234,0.0533010296789824
524901,"Hillpark",108,93,117,4485,4740,5202,0.0240802675585284,0.019620253164557,0.0224913494809689
524902,"Manurewa East",168,165,168,2262,2307,2505,0.0742705570291777,0.0715214564369311,0.067065868263473
525001,"Manurewa Central",195,234,222,3612,3885,4452,0.0539867109634551,0.0602316602316602,0.0498652291105121
525002,"Beaumont",171,183,144,1971,2163,2448,0.0867579908675799,0.0846047156726768,0.0588235294117647
525101,"Leabank",432,375,381,4626,4917,5280,0.0933852140077821,0.0762660158633313,0.0721590909090909
525102,"Wattle Farm",276,315,342,5481,6816,7398,0.0503557744937055,0.0462147887323944,0.0462287104622871
525201,"Clevedon",33,33,30,2196,2448,2580,0.0150273224043716,0.0134803921568627,0.0116279069767442
525202,"Kawakawa-Orere",33,33,27,1053,1071,1038,0.0313390313390313,0.030812324929972,0.0260115606936416
525410,"Papakura Central",114,117,108,1905,1983,2094,0.0598425196850394,0.0590015128593041,0.0515759312320917
525420,"Papakura North",123,114,114,2208,2334,2514,0.0557065217391304,0.0488431876606684,0.045346062052506
525510,"Papakura South",189,168,135,1515,1608,1665,0.124752475247525,0.104477611940299,0.0810810810810811
525520,"Opaheke",102,60,93,2556,2553,2592,0.039906103286385,0.0235017626321974,0.0358796296296296
525530,"Rosehill",249,222,234,3051,3225,3171,0.0816125860373648,0.0688372093023256,0.0737937559129612
525540,"Pahurehure",66,66,54,2964,3033,3051,0.0222672064777328,0.0217606330365974,0.0176991150442478
525610,"Papakura East",531,627,537,4464,5457,6030,0.118951612903226,0.114898295766905,0.0890547263681592
525620,"Massey Park",138,126,108,1674,1812,1902,0.0824372759856631,0.0695364238410596,0.056782334384858
525630,"Papakura North East",186,213,249,3408,3711,4203,0.0545774647887324,0.0573969280517381,0.059243397573162
525700,"Red Hill",174,177,180,2349,2556,2475,0.0740740740740741,0.0692488262910798,0.0727272727272727
525910,"Pukekohe North",492,531,471,6039,7437,8955,0.0814704421261798,0.0713997579669221,0.0525963149078727
525921,"Pukekohe West",135,120,144,5037,5844,6945,0.026801667659321,0.0205338809034908,0.0207343412526998
525922,"Bledisloe Park",66,57,54,2196,2607,2934,0.0300546448087432,0.0218642117376295,0.0184049079754601
526103,"Waiuku West",87,93,84,2451,2691,3102,0.0354957160342717,0.0345596432552954,0.0270793036750484
526104,"Waiuku East",159,114,114,3027,3396,3501,0.0525272547076313,0.0335689045936396,0.0325621251071123
526105,"South Waiuku",9,15,42,912,1242,1599,0.00986842105263158,0.0120772946859903,0.026266416510319
526106,"Pukeoware",3,3,3,147,234,228,0.0204081632653061,0.0128205128205128,0.0131578947368421
526200,"Tuakau",336,372,291,2853,3504,4185,0.117770767613039,0.106164383561644,0.0695340501792115
526400,"Rotowaro",NA,NA,NA,0,0,0,NA,NA,NA
526500,"Raglan",330,309,300,2667,2637,2736,0.123734533183352,0.117178612059158,0.109649122807018
526601,"Waikato Western Hills",264,234,207,3312,3786,3975,0.0797101449275362,0.0618066561014263,0.0520754716981132
526602,"Te Uku",96,126,126,1491,1659,1896,0.0643863179074447,0.0759493670886076,0.0664556962025316
526603,"Te Pahu",15,21,27,1113,1191,1272,0.0134770889487871,0.017632241813602,0.0212264150943396
526701,"Onewhero",300,213,192,3456,3774,3831,0.0868055555555556,0.0564387917329094,0.0501174628034456
526702,"Te Akau",63,63,48,900,954,933,0.07,0.0660377358490566,0.0514469453376206
526900,"Te Kauwhata",72,69,69,1095,1194,1473,0.0657534246575342,0.0577889447236181,0.0468431771894094
527004,"Matangi",42,33,30,1557,1794,2157,0.0269749518304432,0.0183946488294314,0.0139082058414465
527005,"Sylvester",3,3,21,117,180,2055,0.0256410256410256,0.0166666666666667,0.0102189781021898
527006,"Flagstaff",54,66,60,3399,3768,3846,0.0158870255957635,0.017515923566879,0.015600624024961
527007,"Horsham Downs",15,63,84,846,2583,4833,0.0177304964539007,0.024390243902439,0.0173805090006207
527008,"Rototuna",30,51,45,2031,3177,3192,0.0147710487444609,0.016052880075543,0.0140977443609023
527009,"Huntington",3,39,135,768,3834,7830,0.00390625,0.0101721439749609,0.0172413793103448
527111,"Whitikahu",60,72,54,1974,2043,2112,0.0303951367781155,0.0352422907488987,0.0255681818181818
527112,"Taupiri Community",51,45,51,447,444,417,0.114093959731544,0.101351351351351,0.122302158273381
527122,"Gordonton",39,42,57,819,951,1137,0.0476190476190476,0.0441640378548896,0.050131926121372
527123,"Kainui",111,117,126,1947,2433,2766,0.0570107858243451,0.0480887792848335,0.0455531453362256
527124,"Newstead",3,0,3,162,177,213,0.0185185185185185,0,0.0140845070422535
527125,"Eureka",15,15,21,1644,1836,2187,0.00912408759124088,0.00816993464052288,0.00960219478737997
527131,"Tamahere-Tauwhare",183,192,183,3579,4626,5631,0.0511316010058676,0.0415045395590143,0.0324986680873735
527133,"Hautapu",27,24,24,1473,1608,1914,0.0183299389002037,0.0149253731343284,0.0125391849529781
527134,"Swayne",3,3,9,72,234,1464,0.0416666666666667,0.0128205128205128,0.00614754098360656
527210,"Waerenga",60,72,126,1695,1785,2535,0.0353982300884956,0.0403361344537815,0.0497041420118343
527221,"Maramarua",39,42,27,873,951,1011,0.0446735395189003,0.0441640378548896,0.0267062314540059
527222,"Meremere",84,81,63,354,459,468,0.23728813559322,0.176470588235294,0.134615384615385
527401,"Huntly West",810,690,696,2922,2925,2835,0.277207392197125,0.235897435897436,0.245502645502646
527402,"Huntly East",285,279,303,3900,3909,4122,0.0730769230769231,0.0713737528779739,0.0735080058224163
527501,"Cambridge North",69,54,48,2526,2928,3003,0.0273159144893112,0.0184426229508197,0.015984015984016
527502,"Cambridge West",54,36,24,2565,2571,2718,0.0210526315789474,0.014002333722287,0.00883002207505519
527503,"Cambridge Central",21,12,12,711,783,765,0.029535864978903,0.0153256704980843,0.0156862745098039
527504,"Leamington West",132,117,96,2751,3030,3528,0.0479825517993457,0.0386138613861386,0.0272108843537415
527505,"Leamington East",147,132,78,3513,3753,3849,0.0418445772843723,0.035171862509992,0.0202650038971161
527600,"Ohaupo",18,6,12,465,426,516,0.0387096774193548,0.0140845070422535,0.0232558139534884
527700,"Kihikihi",261,213,159,1953,1971,1974,0.133640552995392,0.10806697108067,0.0805471124620061
527810,"Peacocke",9,6,6,432,459,537,0.0208333333333333,0.0130718954248366,0.0111731843575419
527820,"Temple View",201,144,132,1335,1344,1182,0.150561797752809,0.107142857142857,0.111675126903553
527912,"Te Kowhai",33,33,18,1056,1278,1509,0.03125,0.0258215962441315,0.0119284294234592
527913,"Whatawhata",72,69,72,1650,2064,2475,0.0436363636363636,0.0334302325581395,0.0290909090909091
527914,"Ngahinapouri",18,18,24,1728,1980,2106,0.0104166666666667,0.00909090909090909,0.0113960113960114
527915,"Lake Cameron",15,15,21,906,1047,1173,0.0165562913907285,0.0143266475644699,0.0179028132992327
527916,"Horotiu",66,72,48,687,786,771,0.0960698689956332,0.0916030534351145,0.0622568093385214
527917,"Te Rapa North",3,3,3,186,162,150,0.0161290322580645,0.0185185185185185,0.02
527921,"Te Rore",12,12,12,423,417,420,0.0283687943262411,0.0287769784172662,0.0285714285714286
527922,"Pirongia",30,21,27,1131,1332,1410,0.026525198938992,0.0157657657657658,0.0191489361702128
527923,"Pokuru",15,12,12,432,462,528,0.0347222222222222,0.025974025974026,0.0227272727272727
527924,"Lake Ngaroto",6,9,9,534,513,564,0.0112359550561798,0.0175438596491228,0.0159574468085106
527925,"Tokanui",57,54,42,396,426,441,0.143939393939394,0.126760563380282,0.0952380952380952
527931,"Pukerimu",6,6,6,372,393,465,0.0161290322580645,0.0152671755725191,0.0129032258064516
527932,"Kaipaki",9,6,12,768,909,975,0.01171875,0.0066006600660066,0.0123076923076923
527934,"Rotoorangi",45,33,27,1662,1707,1938,0.0270758122743682,0.0193321616871705,0.0139318885448916
527935,"Te Rahu",9,3,3,690,879,900,0.0130434782608696,0.00341296928327645,0.00333333333333333
527936,"Kihikihi Flat",9,15,24,561,693,789,0.0160427807486631,0.0216450216450216,0.0304182509505703
527937,"Allen Road",0,0,6,135,156,204,0,0,0.0294117647058824
528000,"Rotongata",45,45,39,825,822,816,0.0545454545454545,0.0547445255474453,0.0477941176470588
528200,"Ngaruawahia",1038,1032,951,4935,5106,5127,0.210334346504559,0.202115158636898,0.185488589818607
528310,"Bryant",237,246,234,5553,5730,5616,0.0426796326310103,0.0429319371727749,0.0416666666666667
528320,"Pukete",54,60,42,2409,2400,2280,0.0224159402241594,0.025,0.0184210526315789
528402,"Pukete West",72,105,78,2085,2103,2016,0.0345323741007194,0.0499286733238231,0.0386904761904762
528403,"Te Rapa",51,6,6,288,225,339,0.177083333333333,0.0266666666666667,0.0176991150442478
528405,"Burbush",3,0,3,207,201,168,0.0144927536231884,0,0.0178571428571429
528406,"Rotokauri",3,3,0,162,183,165,0.0185185185185185,0.0163934426229508,0
528501,"Nawton",264,234,324,4362,4434,4503,0.0605226960110041,0.0527740189445196,0.0719520319786809
528503,"Crawshaw",345,321,351,2871,2835,2796,0.120167189132706,0.113227513227513,0.125536480686695
528504,"Grandview",261,216,231,2934,2988,3132,0.0889570552147239,0.072289156626506,0.0737547892720306
528505,"Brymer",75,84,81,1515,2289,2628,0.0495049504950495,0.036697247706422,0.0308219178082192
528601,"Dinsdale North",141,120,159,3612,3768,4101,0.0390365448504983,0.0318471337579618,0.0387710314557425
528602,"Dinsdale South",243,276,261,3960,4002,3903,0.0613636363636364,0.0689655172413793,0.0668716372021522
528700,"Beerescourt",117,114,144,3030,3108,3186,0.0386138613861386,0.0366795366795367,0.0451977401129944
528800,"Maeroa",225,255,243,3318,3603,3636,0.0678119349005425,0.070774354704413,0.0668316831683168
528900,"Frankton Junction",111,111,102,1608,1674,1788,0.0690298507462687,0.0663082437275986,0.0570469798657718
529000,"Swarbrick",441,402,378,3906,4068,4464,0.112903225806452,0.0988200589970502,0.0846774193548387
529100,"Hamilton Lake",147,162,189,3705,3879,4056,0.0396761133603239,0.0417633410672854,0.0465976331360947
529200,"Melville",306,339,321,4344,4755,4728,0.0704419889502762,0.0712933753943218,0.0678934010152284
529300,"Glenview",162,222,210,5139,5088,5145,0.031523642732049,0.0436320754716981,0.0408163265306122
529401,"Queenwood",75,81,90,3000,3018,3045,0.025,0.0268389662027833,0.0295566502463054
529402,"Chedworth",171,135,135,3363,3540,3492,0.0508474576271186,0.038135593220339,0.038659793814433
529501,"Porritt",108,141,159,1656,1689,1737,0.0652173913043478,0.0834813499111901,0.0915371329879102
529502,"Insoll",360,327,330,2562,2580,2565,0.140515222482436,0.126744186046512,0.128654970760234
529503,"Fairview Downs",237,252,294,3114,3333,3330,0.0761078998073218,0.0756075607560756,0.0882882882882883
529600,"Chartwell",48,63,81,2313,2352,2517,0.0207522697795071,0.0267857142857143,0.032181168057211
529700,"Hamilton Central",174,183,111,2106,2697,2925,0.0826210826210826,0.067853170189099,0.037948717948718
529800,"Clarkin",213,234,267,2820,3006,3048,0.075531914893617,0.0778443113772455,0.0875984251968504
529900,"Claudelands",99,111,117,2391,2382,2421,0.041405269761606,0.0465994962216625,0.0483271375464684
530000,"Enderley",480,399,384,3981,3897,4182,0.120572720422005,0.102386451116243,0.0918220946915352
530100,"Peachgrove",165,144,183,2403,2841,3276,0.0686641697877653,0.0506863780359029,0.0558608058608059
530200,"Hamilton East",228,231,210,3420,3660,3852,0.0666666666666667,0.0631147540983607,0.0545171339563863
530300,"Naylor",201,186,207,3972,4221,4326,0.0506042296072508,0.0440653873489694,0.0478502080443828
530400,"Bader",351,303,315,3591,3762,4005,0.0977443609022556,0.0805422647527911,0.0786516853932584
530500,"University",318,294,357,3555,4968,5610,0.0894514767932489,0.0591787439613527,0.0636363636363636
530600,"Silverdale",156,138,135,2370,2514,2595,0.0658227848101266,0.0548926014319809,0.0520231213872832
530700,"Hillcrest West",159,126,183,3213,3573,3618,0.0494864612511671,0.035264483627204,0.0505804311774461
530800,"Riverlea",66,57,57,2499,2535,2583,0.0264105642256903,0.0224852071005917,0.0220673635307782
531001,"Te Awamutu West",60,54,69,1125,1227,1305,0.0533333333333333,0.0440097799511002,0.0528735632183908
531002,"Te Awamutu Central",126,123,126,2895,3153,3321,0.0435233160621762,0.0390104662226451,0.037940379403794
531003,"Te Awamutu East",135,132,144,2301,2511,2766,0.0586701434159061,0.0525686977299881,0.052060737527115
531004,"Te Awamutu South",150,165,141,2862,2928,2910,0.0524109014675052,0.0563524590163934,0.0484536082474227
531100,"Kawhia Community",108,99,69,504,387,336,0.214285714285714,0.255813953488372,0.205357142857143
531200,"Otorohanga",264,216,228,2631,2592,2514,0.100342075256556,0.0833333333333333,0.0906921241050119
531301,"Otorohanga Rural West",138,120,99,1659,1683,1848,0.0831826401446655,0.071301247771836,0.0535714285714286
531303,"Te Kawa",21,21,21,390,417,450,0.0538461538461538,0.0503597122302158,0.0466666666666667
531304,"Otorohanga Rural East",282,237,165,4092,3993,3990,0.0689149560117302,0.0593538692712246,0.0413533834586466
531500,"Piopio",69,63,54,468,468,396,0.147435897435897,0.134615384615385,0.136363636363636
531600,"Taharoa",81,75,78,249,216,231,0.325301204819277,0.347222222222222,0.337662337662338
531710,"Mahoenui",39,24,18,525,480,399,0.0742857142857143,0.05,0.0451127819548872
531720,"Marokopa",141,132,102,1569,1572,1536,0.0898661567877629,0.083969465648855,0.06640625
531731,"Waipa Valley",60,78,63,960,981,1050,0.0625,0.0795107033639144,0.06
531732,"Tiroa",12,9,12,72,81,51,0.166666666666667,0.111111111111111,0.235294117647059
531800,"Mokauiti",108,90,42,1218,1179,1029,0.0886699507389163,0.0763358778625954,0.0408163265306122
532000,"Te Kuiti",588,585,549,4392,4455,4221,0.133879781420765,0.131313131313131,0.130063965884861
532200,"Omori",9,24,3,192,219,195,0.046875,0.10958904109589,0.0153846153846154
532300,"Owhango",27,18,18,204,189,177,0.132352941176471,0.0952380952380952,0.101694915254237
532400,"Ohura",21,15,6,222,165,126,0.0945945945945946,0.0909090909090909,0.0476190476190476
532501,"Ngapuke",141,123,93,1611,1584,1560,0.0875232774674116,0.0776515151515152,0.0596153846153846
532502,"Kuratau",39,39,30,294,276,276,0.13265306122449,0.141304347826087,0.108695652173913
532601,"Raurimu",27,18,21,585,555,534,0.0461538461538462,0.0324324324324324,0.0393258426966292
532602,"National Park",24,18,9,234,240,171,0.102564102564103,0.075,0.0526315789473684
532700,"Otangiwai-Heao",84,69,54,1071,930,822,0.0784313725490196,0.0741935483870968,0.0656934306569343
532901,"Tarrangower",183,177,159,1344,1308,1152,0.136160714285714,0.135321100917431,0.138020833333333
532902,"Taumarunui Central",366,357,339,2640,2622,2274,0.138636363636364,0.136155606407323,0.149076517150396
532903,"Sunshine-Hospital Hill",66,54,48,564,567,531,0.117021276595745,0.0952380952380952,0.0903954802259887
532904,"Manunui",78,75,84,591,555,546,0.131979695431472,0.135135135135135,0.153846153846154
533000,"Whitianga",75,90,105,3078,3768,4368,0.0243664717348928,0.0238853503184713,0.0240384615384615
533100,"Coromandel",63,96,93,1437,1473,1503,0.0438413361169102,0.065173116089613,0.06187624750499
533200,"Te Rerenga",192,273,189,3786,4170,4107,0.0507131537242472,0.0654676258992806,0.0460189919649379
533300,"Whangamata",111,99,90,3963,3555,3474,0.0280090840272521,0.0278481012658228,0.0259067357512953
533400,"Tairua",27,24,15,1461,1266,1227,0.0184804928131417,0.018957345971564,0.0122249388753056
533501,"Moanataiari",87,93,93,2505,2472,2424,0.0347305389221557,0.037621359223301,0.0383663366336634
533502,"Parawai",204,207,231,4200,4284,4269,0.0485714285714286,0.0483193277310924,0.0541110330288124
533602,"Pauanui Beach",3,3,3,699,741,750,0.00429184549356223,0.00404858299595142,0.004
533603,"Hikuai",84,108,87,3081,3252,3195,0.0272638753651412,0.033210332103321,0.0272300469483568
533604,"Te Puru-Thornton Bay",15,27,18,951,942,846,0.0157728706624606,0.0286624203821656,0.0212765957446809
533800,"Ngatea",42,21,24,1071,1164,1245,0.0392156862745098,0.0180412371134021,0.0192771084337349
533901,"Hauraki Plains",63,54,48,2424,2541,2508,0.025990099009901,0.0212514757969303,0.0191387559808612
533902,"Turua",30,24,39,1317,1335,1317,0.0227790432801822,0.0179775280898876,0.0296127562642369
533903,"Kerepehi",72,54,63,501,513,429,0.143712574850299,0.105263157894737,0.146853146853147
534100,"Waihi Beach",60,51,39,1908,1773,1935,0.0314465408805031,0.0287648054145516,0.0201550387596899
534200,"Ohinemuri",87,114,99,3045,3159,3111,0.0285714285714286,0.0360873694207028,0.0318225650916104
534300,"Paeroa",327,273,285,3879,3975,3888,0.0843000773395205,0.0686792452830189,0.0733024691358025
534400,"Waihi",168,162,168,4524,4503,4527,0.0371352785145889,0.0359760159893404,0.0371106693174288
534500,"Tahuroa",63,81,60,2496,2529,2655,0.0252403846153846,0.0320284697508897,0.0225988700564972
534602,"Waitoa",6,9,6,360,318,303,0.0166666666666667,0.0283018867924528,0.0198019801980198
534603,"Springdale",54,63,45,2526,2484,2454,0.0213776722090261,0.0253623188405797,0.0183374083129584
534604,"Waihou-Walton",147,195,129,4053,4344,3996,0.0362694300518135,0.0448895027624309,0.0322822822822823
534800,"Te Aroha",93,102,96,3684,3771,3903,0.0252442996742671,0.0270485282418457,0.0245964642582629
534901,"Morrinsville West",159,141,174,2520,2547,2562,0.0630952380952381,0.055359246171967,0.0679156908665105
534902,"Morrinsville East",69,81,84,3678,4056,4434,0.0187601957585644,0.0199704142011834,0.0189445196211096
535000,"Waharoa",159,183,153,531,507,465,0.299435028248588,0.36094674556213,0.329032258064516
535100,"Tirau",57,39,39,723,732,693,0.0788381742738589,0.0532786885245902,0.0562770562770563
535211,"Mangakaretu",0,0,6,186,210,231,0,0,0.025974025974026
535212,"Kinleith",9,3,9,222,228,240,0.0405405405405405,0.0131578947368421,0.0375
535220,"Okauia",57,45,45,1806,1911,1965,0.0315614617940199,0.0235478806907378,0.0229007633587786
535231,"Te Poi",30,30,36,792,819,801,0.0378787878787879,0.0366300366300366,0.0449438202247191
535232,"Tapapa",51,54,33,1020,1038,999,0.05,0.0520231213872832,0.033033033033033
535241,"Karapiro",27,54,42,2064,2451,2628,0.0130813953488372,0.02203182374541,0.0159817351598174
535242,"Hinuera",12,6,9,894,891,906,0.0134228187919463,0.00673400673400673,0.00993377483443709
535250,"Arapuni",72,63,57,2163,2145,2190,0.0332871012482663,0.0293706293706294,0.026027397260274
535261,"Lichfield",15,30,24,846,966,990,0.0177304964539007,0.031055900621118,0.0242424242424242
535262,"Wawa",15,15,33,504,468,714,0.0297619047619048,0.032051282051282,0.046218487394958
535310,"Paraonui",78,81,93,1848,1788,1728,0.0422077922077922,0.0453020134228188,0.0538194444444444
535320,"Parkdale",108,78,57,789,711,666,0.136882129277567,0.109704641350211,0.0855855855855856
535330,"Matarawa",231,189,162,2211,2025,1899,0.104477611940299,0.0933333333333333,0.0853080568720379
535340,"Stanley Park",231,225,186,2274,2052,2034,0.101583113456464,0.109649122807018,0.0914454277286136
535350,"Tokoroa Central",114,93,72,930,807,720,0.12258064516129,0.115241635687732,0.1
535360,"Aotea",366,270,231,3360,3141,2979,0.108928571428571,0.0859598853868195,0.0775427995971803
535370,"Strathmore",270,231,231,2439,2403,2070,0.11070110701107,0.0961298377028714,0.111594202898551
535380,"Amisfield",6,6,6,171,162,153,0.0350877192982456,0.037037037037037,0.0392156862745098
535501,"Matamata North",105,75,90,2586,2628,2928,0.0406032482598608,0.0285388127853881,0.0307377049180328
535502,"Matamata South",138,144,144,3540,3678,4164,0.0389830508474576,0.0391517128874388,0.0345821325648415
535600,"Putaruru",258,279,267,3783,3768,3780,0.0681998413957177,0.0740445859872611,0.0706349206349206
535700,"Athenree",15,27,42,516,612,672,0.0290697674418605,0.0441176470588235,0.0625
535800,"Katikati Community",108,84,141,2916,3582,4059,0.037037037037037,0.0234505862646566,0.0347376201034738
535900,"Maketu Community",210,213,171,1002,1179,1047,0.209580838323353,0.180661577608142,0.163323782234957
536000,"Omokoroa",27,24,54,1965,2205,2547,0.0137404580152672,0.0108843537414966,0.0212014134275618
536201,"Papamoa Beach East",117,129,117,3123,3252,3453,0.037463976945245,0.0396678966789668,0.0338835794960904
536202,"Palm Springs",66,96,117,1941,3093,4206,0.0340030911901082,0.0310378273520854,0.0278174037089872
536203,"Doncaster",36,60,57,957,1449,2490,0.0376175548589342,0.041407867494824,0.0228915662650602
536400,"Island View-Pios Beach",33,45,21,609,561,543,0.0541871921182266,0.0802139037433155,0.0386740331491713
536503,"Te Puna",234,258,231,2304,2466,2439,0.1015625,0.104622871046229,0.0947109471094711
536505,"Matapihi",201,192,204,615,681,672,0.326829268292683,0.281938325991189,0.303571428571429
536506,"Inlet-Tauranga Harbour Omokoroa",NA,NA,NA,0,0,0,NA,NA,NA
536508,"Inlet-Tauranga Harbour",NA,NA,NA,15,9,6,NA,NA,NA
536509,"Waikareao Estuary",NA,NA,NA,0,0,0,NA,NA,NA
536510,"Motuopae Island",NA,NA,NA,0,0,0,NA,NA,NA
536512,"Kairua",105,99,93,381,456,435,0.275590551181102,0.217105263157895,0.213793103448276
536513,"Bethlehem East",21,21,24,2235,3090,3393,0.00939597315436242,0.00679611650485437,0.00707338638373121
536514,"Bethlehem",153,144,153,1911,2658,3876,0.0800627943485086,0.054176072234763,0.0394736842105263
536515,"Pacific View",27,48,36,1542,2688,2856,0.0175097276264591,0.0178571428571429,0.0126050420168067
536516,"Palm Beach",135,129,117,3189,3456,3633,0.0423330197554092,0.0373263888888889,0.032204789430223
536517,"Gravatt",54,54,54,1191,2724,3447,0.0453400503778338,0.0198237885462555,0.0156657963446475
536611,"Matakana Island",141,132,135,291,225,252,0.484536082474227,0.586666666666667,0.535714285714286
536613,"Inlet-Tauranga Harbour North",NA,NA,NA,12,0,0,NA,NA,NA
536614,"Tahawai",45,51,45,1566,1740,1707,0.028735632183908,0.0293103448275862,0.0263620386643234
536615,"Aongatete",75,78,90,2283,2610,2832,0.0328515111695138,0.0298850574712644,0.0317796610169492
536620,"Minden",81,69,129,3675,4248,4401,0.0220408163265306,0.0162429378531073,0.0293115201090661
536630,"Kaimai",105,99,135,4482,4974,5286,0.0234270414993307,0.0199034981905911,0.025539160045403
536641,"Ohauiti-Ngapeke",30,36,33,564,651,711,0.0531914893617021,0.0552995391705069,0.0464135021097046
536642,"Upper Papamoa",54,84,72,1809,2007,2166,0.0298507462686567,0.0418535127055306,0.0332409972299169
536651,"Paengaroa",78,75,69,831,900,906,0.0938628158844765,0.0833333333333333,0.076158940397351
536653,"Rangiuru",192,225,189,1953,2028,2097,0.098310291858679,0.11094674556213,0.0901287553648069
536654,"Pongakawa",105,180,111,2532,2988,2595,0.0414691943127962,0.0602409638554217,0.0427745664739884
536810,"Mt Maunganui North",72,90,72,3402,3735,4131,0.0211640211640212,0.0240963855421687,0.0174291938997821
536821,"Omanu",135,264,108,4776,5016,5172,0.0282663316582915,0.0526315789473684,0.0208816705336427
536822,"Tauranga City-Marinas",0,0,0,66,63,69,0,0,0
536831,"Arataki",339,336,252,5052,5124,5160,0.0671021377672209,0.0655737704918033,0.0488372093023256
536832,"Te Maunga",183,192,213,4509,4767,4743,0.040585495675316,0.0402769037130271,0.0449082858950032
537000,"Matua",72,66,81,4932,5076,5148,0.0145985401459854,0.0130023640661939,0.0157342657342657
537100,"Bellevue",138,117,144,3369,3402,3537,0.0409617097061443,0.0343915343915344,0.0407124681933842
537201,"Otumoetai North",54,60,63,3669,3729,3750,0.0147179067865904,0.0160901045856798,0.0168
537202,"Otumoetai South",57,45,42,3333,3354,3408,0.0171017101710171,0.0134168157423971,0.0123239436619718
537301,"Brookfield",159,219,201,4293,4824,5031,0.037037037037037,0.0453980099502488,0.0399522957662493
537302,"Te Reti",108,105,93,1653,1605,1665,0.0653357531760436,0.0654205607476635,0.0558558558558559
537400,"Judea",135,147,153,2259,2400,2490,0.0597609561752988,0.06125,0.0614457831325301
537500,"Gate Pa",165,174,198,2955,3000,3030,0.0558375634517767,0.058,0.0653465346534653
537601,"Greerton",117,144,177,3933,4110,4173,0.0297482837528604,0.035036496350365,0.0424155283968368
537602,"Pyes Pa",30,51,105,1905,3048,6033,0.015748031496063,0.0167322834645669,0.0174042764793635
537700,"Yatton Park",171,255,240,2241,2394,2403,0.0763052208835341,0.106516290726817,0.0998751560549313
537800,"Poike",60,72,60,714,807,738,0.0840336134453782,0.0892193308550186,0.0813008130081301
537900,"Hairini",276,339,258,3870,5208,5766,0.0713178294573643,0.0650921658986175,0.0447450572320499
538000,"Maungatapu",180,207,174,2592,2670,2721,0.0694444444444444,0.0775280898876405,0.0639470782800441
538101,"Tauranga Hospital",117,96,117,1812,1932,1881,0.0645695364238411,0.0496894409937888,0.062200956937799
538102,"Tauranga South",111,159,138,4251,4302,4344,0.0261115031757234,0.0369595536959554,0.031767955801105
538201,"Tauranga Central",42,63,51,1938,2214,2226,0.021671826625387,0.0284552845528455,0.022911051212938
538202,"Sulphur Point",NA,NA,NA,9,15,27,NA,NA,NA
538301,"Kaitemako",48,87,75,1089,1374,1419,0.0440771349862259,0.0633187772925764,0.0528541226215645
538302,"Welcome Bay West",165,168,168,2856,3084,3582,0.0577731092436975,0.0544747081712062,0.0469011725293132
538303,"Welcome Bay East",171,180,168,2559,3069,3669,0.0668229777256741,0.0586510263929619,0.0457890433360589
538501,"Te Puke West",246,261,240,2853,2916,3006,0.0862250262881178,0.0895061728395062,0.0798403193612774
538502,"Te Puke East",225,261,210,3918,4164,4488,0.057427258805513,0.0626801152737752,0.0467914438502674
538601,"Ngongotaha North",375,372,348,2916,2874,2982,0.128600823045267,0.129436325678497,0.116700201207243
538602,"Ngongotaha South",123,129,135,1092,1101,1212,0.112637362637363,0.11716621253406,0.111386138613861
